factor,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,direction
intraday_momentum,1.5533361151345684,0.3712811547518896,2.0,-0.378552638919625,-1
reversal_5,0.6942322859927252,0.3944265441218069,1.7601053893024305,-0.45751366268753063,1
overnight,0.5893705836518501,0.4036752827950199,1.4600115706146009,-0.4668580081332719,-1
max_ret_5d,0.5564007061170273,0.4038318556470915,1.3778029106333445,-0.34091010236744634,1
ma_dist_20,0.4451613295360959,0.3922284541243319,1.1349541953297066,-0.5898607099975007,-1
mom_20,0.23804926500653933,0.3956113388228968,0.6017250812750511,-0.7866658001236682,-1
rsi_14,0.16407747726802202,0.3988375466963902,0.4113892451377549,-0.795763506893119,1
dollar_volume_20,0.1244287674416551,0.42543814538584385,0.29247205214475197,-0.6310757242549344,-1
size_proxy,0.11064710300103786,0.4217652357720296,0.2623428713808083,-0.7070612229561334,1
turnover_20,0.055573137150080276,0.2756786643076725,0.20158664541430601,-0.5481813457312343,-1
volatility_20,-0.0046355438424605655,0.43626487785730156,-0.010625526091460454,-0.8584995483620316,1
mom_60,-0.044864745873075096,0.40133052925240154,-0.11179001497007751,-0.8595575230851488,-1
hl_spread_5,-0.06733110300530465,0.41209931427928154,-0.1633856225241716,-0.8609402271200368,1
volume_anom,-0.07178271186426877,0.3899620008165844,-0.18407617079088484,-0.8854990264405407,1
